# XviD 2pass stat file (core version 1.2.2)
# Please do not modify this file

i 2 1326 0 0 32514 4144
b 4 0 1326 0 175 167
b 4 0 1326 0 179 171
p 2 1 203 1122 6762 568
b 4 0 1326 0 1827 260
b 4 0 1326 0 1900 272
p 2 3 187 1136 6696 608
b 4 0 1326 0 1755 245
b 4 0 1326 0 1911 242
p 2 1 125 1200 6330 540
b 4 0 1326 0 1846 256
b 4 0 1326 0 1826 250
p 2 1 139 1186 5516 549
b 4 0 1326 0 1496 233
b 4 0 1326 0 1689 245
p 2 0 139 1187 5179 546
b 4 0 1326 0 1235 242
b 4 0 1326 0 1529 255
p 2 0 145 1181 5151 574
b 4 0 1326 0 1522 265
b 4 0 1326 0 1375 247
p 2 0 147 1179 5089 581
b 4 0 1326 0 1216 246
b 4 0 1326 0 1316 252
p 2 0 149 1177 4685 579
b 4 0 1326 0 1070 251
b 4 0 1326 0 1140 245
p 2 0 162 1164 5125 608
b 4 0 1326 0 1099 273
b 4 0 1326 0 1569 262
p 2 3 171 1152 5171 635
b 4 0 1326 0 1018 273
b 4 0 1326 0 1464 266
p 2 2 174 1150 6529 647
b 4 0 1326 0 1198 271
b 4 0 1326 0 1353 270
p 2 0 174 1152 5715 623
b 4 0 1326 0 1181 283
b 4 0 1326 0 1342 285
p 2 0 174 1152 5648 607
b 4 0 1326 0 1315 298
b 4 0 1326 0 1719 291
p 2 0 194 1132 7276 658
b 4 0 1326 0 1491 259
b 4 0 1326 0 1666 278
p 2 6 163 1157 4435 606
b 4 0 1326 0 1300 281
b 4 0 1326 0 1426 292
p 2 7 169 1150 5648 635
b 4 0 1326 0 1014 285
b 4 0 1326 0 1353 267
p 2 0 177 1149 5279 617
b 4 0 1326 0 1370 291
b 4 0 1326 0 1159 274
p 2 0 176 1150 4708 606
b 4 0 1326 0 1142 297
b 4 0 1326 0 1345 313
p 2 0 185 1141 7486 686
b 4 0 1326 0 202 202
b 4 0 1326 0 1594 304
p 2 0 180 1146 6937 641
b 4 0 1326 0 1440 275
b 4 0 1326 0 1563 288
p 2 0 186 1140 6208 636
b 4 0 1326 0 253 208
b 4 0 1326 0 1552 275
p 2 0 195 1131 6741 633
b 4 0 1326 0 1482 283
b 4 0 1326 0 1663 281
p 2 0 181 1145 6384 619
b 4 0 1326 0 1763 288
b 4 0 1326 0 1681 302
p 2 0 176 1150 6278 619
b 4 0 1326 0 2043 293
